country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
China				0.58	0.73	0.78	0.78	0.75	0.95	0.95	0.97	0.94	0.91	0.88	0.85	0.8	0.83	0.84	0.84	0.85	0.85	0.86	0.86	0.86	0.87	0.87	0.93	0.93	0.97	0.99	0.99	0.99
Colombia	0.16	0.2	0.26	0.42	0.61	0.61	0.48	0.58	0.74	0.78	0.88	0.84	0.78	0.83	0.85	0.85	0.85	0.84	0.73	0.74	0.79	0.8	0.81	0.92	0.89	0.93	0.93	0.93	0.92	0.92	0.88	0.85
Comoros					0.31	0.51	0.71	0.71	0.43	0.82	0.94	0.52	0.38	0.7	0.58	0.75	0.6	0.48	0.75	0.73	0.7	0.7	0.89	0.8	0.76	0.68	0.69	0.75	0.81	0.83	0.74	0.83
Congo, Dem. Rep.		0.18	0.17	0.16	0.27	0.37	0.32	0.38	0.41	0.38	0.35	0.16	0.23	0.29	0.26	0.23	0.18	0.18	0.18	0.25	0.4	0.3	0.38	0.41	0.54	0.6	0.62	0.7	0.65	0.72	0.58	0.7
Congo, Rep.	0.42	0.42	0.47	0.5	0.53	0.54	0.71	0.72	0.72	0.79	0.79	0.74	0.67	0.6	0.55	0.5	0.37	0.23	0.26	0.29	0.33	0.31	0.41	0.5	0.67	0.65	0.79	0.8	0.89	0.91	0.9	0.9
Costa Rica	0.86	0.85	0.81	0.86	0.93	0.9	0.89	0.94	0.87	0.86	0.95	0.9	0.9	0.88	0.88	0.85	0.85	0.94	0.85	0.86	0.88	0.91	0.94	0.88	0.9	0.91	0.89	0.89	0.9	0.86	0.91	0.85
Cote d'Ivoire					0.19	0.25	0.3	0.31	0.31	0.42	0.54	0.39	0.49	0.5	0.5	0.52	0.55	0.58	0.64	0.58	0.65	0.66	0.64	0.61	0.67	0.76	0.77	0.76	0.74	0.81	0.85	0.62
Croatia													0.83	0.85	0.87	0.9	0.91	0.92	0.93	0.93	0.93	0.94	0.95	0.94	0.96	0.96	0.96	0.96	0.96	0.96	0.97	0.96
Cuba	0.67	0.68	0.99	0.99	0.86	0.91	0.99	0.87	0.98	0.96	0.92	0.99	0.94	0.99	0.99	0.99	0.9	0.99	0.99	0.95	0.95	0.98	0.99	0.72	0.88	0.89	0.89	0.93	0.95	0.96	0.96	0.96
Cyprus	0.34	0.56	0.26	0.34	0.3	0.61	0.91	0.93	0.9	0.93	0.93	0.94	0.94	0.95	0.95	0.96	0.98	0.98	0.98	0.97	0.97	0.97	0.98	0.98	0.98	0.98	0.97	0.97	0.97	0.99	0.99	0.99
Czech Republic														0.99	0.98	0.96	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.97	0.98	0.97	0.98	0.99	0.99	0.99	0.99	0.99
Denmark	0.88	0.88	0.87	0.86	0.86	0.9	0.89	0.88	0.87	0.89	0.9	0.9	0.91	0.88	0.89	0.9	0.77	0.92	0.99	0.99	0.97	0.97	0.98	0.96	0.95	0.93	0.93	0.87	0.88	0.89	0.9	0.91
Djibouti			0.06	0.14	0.21	0.22	0.24	0.25	0.65	0.77	0.85	0.53	0.41	0.41	0.41	0.41	0.41	0.32	0.23	0.23	0.46	0.53	0.62	0.68	0.64	0.71	0.72	0.88	0.89	0.89	0.88	0.87
Dominica	0.63	0.97	0.99	0.93	0.84	0.91	0.93	0.95	0.96	0.92	0.92	0.98	0.99	0.99	0.99	0.99	0.99	0.92	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.98	0.95	0.96	0.96	0.99	0.98	0.98
Dominican Republic	0.36	0.27	0.28	0.29	0.34	0.39	0.8	0.8	0.69	0.58	0.69	0.71	0.73	0.75	0.74	0.72	0.72	0.73	0.75	0.83	0.78	0.72	0.82	0.79	0.81	0.87	0.89	0.87	0.85	0.82	0.88	0.84
Ecuador	0.1	0.26	0.35	0.31	0.48	0.41	0.44	0.51	0.54	0.55	0.68	0.59	0.87	0.85	0.84	0.83	0.82	0.81	0.85	0.8	0.88	0.9	0.89	0.89	0.9	0.94	0.98	0.99	0.99	0.99	0.99	0.99
Egypt	0.57	0.57	0.57	0.57	0.69	0.84	0.8	0.81	0.87	0.9	0.87	0.76	0.79	0.81	0.83	0.88	0.9	0.88	0.92	0.97	0.98	0.99	0.97	0.98	0.97	0.98	0.98	0.98	0.97	0.97	0.97	0.96
El Salvador	0.44	0.42	0.42	0.21	0.31	0.55	0.5	0.53	0.63	0.64	0.8	0.61	0.6	0.79	0.9	0.99	0.96	0.97	0.99	0.94	0.99	0.92	0.81	0.94	0.9	0.89	0.96	0.99	0.98	0.91	0.92	0.89
Equatorial Guinea						0.03	0.03	0.1	0.19	0.48	0.77	0.77	0.76	0.76	0.77	0.79	0.8	0.81	0.81	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33
Eritrea														0.32	0.49	0.58	0.66	0.75	0.86	0.93	0.81	0.86	0.9	0.93	0.98	0.96	0.96	0.96	0.99	0.99	0.99	0.99
Estonia														0.71	0.77	0.82	0.87	0.87	0.88	0.91	0.93	0.94	0.94	0.94	0.94	0.96	0.95	0.95	0.95	0.95	0.94	0.93
Ethiopia		0.03	0.03	0.04	0.04	0.06	0.07	0.16	0.16	0.26	0.49	0.21	0.13	0.28	0.57	0.57	0.55	0.55	0.37	0.27	0.27	0.33	0.3	0.28	0.4	0.42	0.42	0.42	0.49	0.44	0.5	0.51
Fiji	0.68	0.7	0.64	0.8	0.77	0.69	0.71	0.9	0.98	0.98	0.97	0.99	0.97	0.96	0.96	0.97	0.97	0.86	0.87	0.89	0.9	0.91	0.93	0.94	0.95	0.96	0.98	0.99	0.99	0.99	0.99	0.99
Finland	0.92	0.92	0.94	0.94	0.95	0.96	0.97	0.98	0.99	0.9	0.9	0.95	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.98	0.98	0.98	0.97	0.97	0.99	0.99	0.99	0.99	0.99
France	0.79	0.79	0.85	0.9	0.94	0.95	0.96	0.88	0.79	0.95	0.94	0.94	0.94	0.94	0.96	0.96	0.97	0.97	0.96	0.97	0.97	0.97	0.97	0.97	0.98	0.98	0.99	0.98	0.98	0.98	0.99	0.99
Gabon				0.14	0.31	0.48	0.59	0.65	0.72	0.78	0.78	0.72	0.66	0.67	0.69	0.7	0.62	0.54	0.5	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45
Gambia	0.63	0.76	0.8	0.62	0.7	0.78	0.73	0.85	0.82	0.87	0.92	0.85	0.85	0.9	0.93	0.96	0.96	0.96	0.85	0.74	0.8	0.87	0.87	0.87	0.87	0.95	0.95	0.95	0.96	0.98	0.97	0.96
Georgia													0.58	0.54	0.58	0.79	0.8	0.8	0.8	0.84	0.8	0.87	0.84	0.76	0.78	0.84	0.87	0.98	0.92	0.88	0.91	0.94
Germany		0.95	0.97	0.93	0.94	0.8	0.9	0.8	0.8	0.8	0.8	0.8	0.85	0.62	0.73	0.78	0.84	0.87	0.89	0.97	0.9	0.93	0.96	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Ghana	0.07	0.22	0.23	0.23	0.19	0.22	0.35	0.42	0.47	0.51	0.58	0.6	0.62	0.66	0.7	0.7	0.71	0.71	0.76	0.79	0.88	0.79	0.78	0.8	0.8	0.84	0.84	0.94	0.93	0.94	0.94	0.91
Greece	0.72	0.95	0.83	0.72	0.6	0.54	0.8	0.82	0.83	0.54	0.54	0.85	0.89	0.89	0.9	0.9	0.9	0.9	0.89	0.88	0.89	0.91	0.92	0.94	0.95	0.96	0.98	0.99	0.99	0.99	0.99	0.99
Grenada	0.25	0.43	0.56	0.68	0.76	0.61	0.98	0.8	0.65	0.87	0.8	0.85	0.9	0.89	0.91	0.95	0.8	0.95	0.97	0.88	0.97	0.96	0.98	0.97	0.83	0.99	0.91	0.96	0.99	0.99	0.97	0.94
Guatemala	0.43	0.42	0.45	0.44	0.48	0.21	0.37	0.16	0.47	0.5	0.66	0.63	0.66	0.75	0.71	0.77	0.66	0.73	0.78	0.77	0.81	0.77	0.82	0.84	0.87	0.87	0.89	0.85	0.95	0.92	0.94	0.85
Guinea			0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.17	0.17	0.36	0.52	0.53	0.53	0.54	0.48	0.47	0.56	0.43	0.47	0.5	0.54	0.57	0.61	0.59	0.57	0.63	0.6	0.57	0.64	0.59
Guinea-Bissau				0.09	0.18	0.18	0.47	0.55	0.66	0.54	0.61	0.63	0.67	0.63	0.74	0.45	0.53	0.63	0.54	0.45	0.49	0.53	0.57	0.6	0.64	0.68	0.7	0.72	0.74	0.76	0.76	0.76
Guyana	0.35	0.45	0.53	0.58	0.7	0.75	0.64	0.67	0.64	0.77	0.83	0.81	0.79	0.93	0.9	0.86	0.83	0.88	0.9	0.83	0.88	0.85	0.91	0.9	0.91	0.93	0.93	0.94	0.93	0.98	0.95	0.93
Haiti	0.03	0.14	0.13	0.09	0.14	0.19	0.24	0.28	0.48	0.5	0.41	0.36	0.38	0.39	0.41	0.42	0.42	0.42	0.45	0.47	0.49	0.51	0.53	0.55	0.57	0.59	0.59	0.59	0.59	0.59	0.59	0.59
Honduras	0.28	0.34	0.46	0.52	0.41	0.58	0.62	0.58	0.74	0.85	0.84	0.94	0.93	0.94	0.94	0.94	0.94	0.95	0.97	0.95	0.94	0.96	0.95	0.92	0.94	0.98	0.95	0.94	0.93	0.98	0.98	0.98
Hungary	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Iceland	0.99	0.99	0.98	0.94	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.98	0.92	0.95	0.97	0.99	0.95	0.97	0.97	0.98	0.96	0.96	0.96
India	0.06	0.06	0.12	0.14	0.16	0.18	0.2	0.3	0.4	0.5	0.7	0.57	0.56	0.61	0.67	0.71	0.66	0.62	0.66	0.64	0.62	0.6	0.58	0.61	0.64	0.67	0.66	0.71	0.72	0.72	0.72	0.72
Indonesia		0.01	0.01	0.06	0.13	0.27	0.47	0.5	0.54	0.57	0.6	0.62	0.64	0.66	0.68	0.69	0.72	0.73	0.72	0.72	0.71	0.71	0.7	0.71	0.71	0.72	0.72	0.72	0.58	0.62	0.63	0.63
Iran	0.32	0.29	0.41	0.33	0.33	0.51	0.57	0.57	0.88	0.82	0.91	0.88	0.97	0.99	0.95	0.98	0.99	0.99	0.99	0.99	0.99	0.96	0.99	0.99	0.99	0.95	0.98	0.99	0.99	0.99	0.99	0.99
